rank,name,nation,position,age,v0_eur,v1_eur,multiplier,jump_eur,wc_goals,wc_assists,headline_club,fee_low_eur,fee_high_eur,mover_status
1,Johan Manzambi,Switzerland,MF,19,28000000.0,47895097.6,1.71,19895097.6,0,0,Real Madrid,55242693.97037661,79495584.0061517,confirmed
2,Ayyoub Bouaddi,Morocco,MF,17,50000000.0,73237760.0,1.46,23237760.0,0,0,Bayern Munich,46885116.80117758,67468826.61632872,rumored
3,Manu Koné,France,MF,24,45000000.0,63654300.00000001,1.41,18654300.000000007,0,0,Paris Saint-Germain,65296602.76646642,93963403.98101264,rumored
4,Kylian Mbappé,France,FW,26,180000000.0,198654300.0,1.1,18654300.0,10,4,FC Barcelona,189218243.83505714,272289667.9577651,
5,Pau Cubarsí,Spain,DF,18,60000000.0,70584000.0,1.18,10584000.0,0,0,Manchester City,120507044.3488481,173412576.01419604,
6,Michael Olise,France,MF,23,90000000.0,102536577.9,1.14,12536577.900000006,0,7,Liverpool FC,86869349.95259616,125007113.34641883,
7,Ousmane Dembélé,France,FW,28,60000000.0,63847720.800000004,1.06,3847720.8000000045,0,0,Manchester United,69110753.29064235,99452059.61336336,
8,Jude Bellingham,England,MF,22,180000000.0,186659585.1,1.04,6659585.099999994,7,0,Inter Milan,73189984.83532062,105322173.2996077,
9,Rodri,Spain,MF,29,100000000.0,104900000.0,1.05,4900000.0,0,0,Chelsea FC,71731525.79015824,103223415.16144723,
10,Unai Simón,Spain,GK,28,25184618.308655318,26378676.736868195,1.05,1194058.4282128774,0,0,Arsenal FC,27771835.69903015,39964348.932750694,
11,Nilson Angulo,Ecuador,MF,22,8088870.304792529,8254743.200249927,1.02,165872.89545739815,0,0,Juventus FC,19175846.165648185,27594510.335932747,
